id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
66426,OrelSan,14,Musician,1551,"European, Musicians",INFP,134,6w7,41,SEI,7,sx/sp,12,694.0,7,Melancholic-Phlegmatic,9,ELVF,2,RCUEI,4,EN(T),2,I,0.92,N,0.68,F,0.82,P,0.99,50+
95502,Koyoharu Gotouge,16,The Arts,3440,Artists (Comics),INFP,134,1w2,43,EII,7,so/sp,6,459.0,8,Phlegmatic-Melancholic,4,EFVL,4,RCOAN,8,IF(N),2,I,0.97,N,0.9,F,0.98,P,0.49,50+
108589,Kwon Mina,29,Kpop,1548,Kpop,INFP,131,4w3,60,IEI,8,so/sx,23,469.0,17,Melancholic [Dominant],22,EFVL,2,RLUEN,9,IF(N),1,I,0.94,N,0.98,F,0.94,P,0.95,50+
11801,Karen Gillan,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),INFP,131,4w3,42,IEE,9,sp/so,8,478.0,7,Sanguine-Melancholic,5,ELFV,2,RCUAI,6,IF(N),1,I,0.76,N,0.95,F,0.97,P,0.98,50+
205804,Avogado6 (アボガド6),15,Internet,3378,Artists & Animators,INFP,129,4w5,53,EII,3,sp/sx,13,459.0,10,Melancholic [Dominant],15,ELVF,5,RLUEI,5,IF(N),4,I,0.99,N,0.98,F,0.88,P,0.56,50+
22291,Ben Stiller,1,Pop Culture,13,Actors and Actresses (USA),INFP,128,4w3,40,IEI,7,sx/sp,6,469.0,11,Phlegmatic [Dominant],10,ELVF,1,RCOAI,3,IF(N),1,I,0.72,N,0.95,F,0.88,P,0.76,50+
74072,Maude Apatow,1,Pop Culture,13,Actors and Actresses (USA),INFP,126,9w1,32,IEI,5,so/sx,5,926.0,7,Phlegmatic [Dominant],13,,0,RLOAI,6,EN(F),2,I,0.98,N,0.94,F,1.0,P,0.67,50+
20307,Sophia Lillis,1,Pop Culture,13,Actors and Actresses (USA),INFP,124,6w7,40,IEI,7,sx/so,9,694.0,10,Melancholic-Phlegmatic,9,ELVF,5,RCOAN,7,IF(S),1,I,0.98,N,0.95,F,0.96,P,0.94,50+
43888,Edvard Munch,16,The Arts,592,Artists,INFP,124,4w5,73,ILI,10,sx/sp,16,458.0,16,Melancholic [Dominant],18,ELVF,5,RLUEI,5,IF(N),4,I,1.0,N,0.96,F,0.95,P,0.9,50+
14867,Franz Schubert,14,Musician,732,Classical,INFP,123,4w5,68,EII,24,sp/so,26,459.0,27,Phlegmatic-Melancholic,17,ELVF,7,RLUAI,8,IF(N),6,I,1.0,N,0.98,F,0.98,P,0.97,50+
